2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:21		 wafer_16012020_051629.csv: File loaded successfully!!
